trait,legacy_softmax,legacy_softmax_without_floor,eq15_softmax,raw_change,relative_change,legacy_log10_softmax,eq15_log10_softmax,log10_change,legacy_log10_se,eq15_log10_se,log10_se_change
Body mass index,237.03799292586663,237.03799292586638,235.15050781053668,-1.8874851153299517,-0.007962795719082316,2.3748179611816167,2.371345920947613,-0.003472040234003604,0.0005147770245226155,0.0001904350655061542,-0.0003243419590164613
Years of education,400.12759783296,400.1275978329604,397.18088703964986,-2.94671079331016,-0.00736442777071411,2.602198506823184,2.59898834140207,-0.003210165421113853,0.0005888507547136756,9.780116836068766e-05,-0.0004910495863529879
FVC (corrected for smoking),382.06552908875244,382.06552908875244,379.95672247046235,-2.108806618290089,-0.0055194893486457675,2.5821378563174067,2.5797341327677956,-0.0024037235496110476,0.00034392978017310974,0.00011246765414208894,-0.00023146212603102078
Neuroticism,468.2868687137163,468.2868687137163,465.22764822372466,-3.059220489991617,-0.006532791530957649,2.6705119798509895,2.6676655167060073,-0.0028464631449822697,0.0005512176718976391,7.84738880451721e-05,-0.000472743783852467
Blood pressure - diastolic,158.4464415862779,158.4464415862779,155.31777487265632,-3.128666713621584,-0.019745894463132796,2.1998824901858516,2.1912211600902793,-0.00866133009557224,0.0030762909056575942,0.000756194785863517,-0.0023200961197940772
Height,97.32731183475066,97.32731183475072,96.46767179028355,-0.8596400444671133,-0.008832464682952179,1.9882347283948323,1.9843817971224404,-0.003852931272391835,0.017221140289858893,0.01474585830473809,-0.0024752819851208037
Chronotype (morning person),428.04573038504395,428.0457303850435,424.83131920744694,-3.2144111775970146,-0.007509504124023181,2.6314901694639747,2.6282165260997505,-0.003273643364224199,0.0010404371624089374,0.00013493882225583384,-0.0009054983401531035
Age at menarche,113.8564209904793,113.85642099047917,111.79649616707833,-2.059924823400962,-0.018092302616584233,2.0563575278988977,2.048428192466782,-0.007929335432115714,0.0020398293761904568,0.0007304340991633103,-0.0013093952770271465
Total protein level in blood,61.67155426208067,61.671554262080605,55.41009224882987,-6.261462013250799,-0.10152917480629664,1.7900848937634077,1.7435888731904836,-0.046496020572924124,0.1933649091675542,0.03661357733541719,-0.15675133183213702
Waist-hip ratio (corrected for BMI),107.08838406144815,107.08838406144804,104.06812816924258,-3.0202558922055687,-0.028203394034524987,2.0297423652145996,2.0173177431551705,-0.012424622059429069,0.003271553844828074,0.0005905713053446893,-0.0026809825394833848
FEV1/FVC (corrected for smoking),58.704970040618626,58.70497004061866,55.142476673257214,-3.5624933673614123,-0.06068469781854047,1.7686748707509166,1.741486268142149,-0.027188602608767543,0.018078115811890408,0.005417687791313698,-0.01266042802057671
Reaction time,309.211659835774,309.211659835775,304.8385210201753,-4.373138815598736,-0.014142865175011066,2.4902558620472632,2.4840698459006423,-0.006186016146620954,0.0026215234960550154,0.00021422728891874087,-0.0024072962071362745
Creatinine level,79.76494492179287,79.76494492179287,77.19065625284004,-2.574288668952832,-0.0322734337932139,1.9018120696476237,1.88756473319294,-0.01424733645468379,0.01084863093096991,0.0036852764869440904,-0.00716335444402582
Schizophrenia,470.5745088877787,470.5745088877777,468.68995068984844,-1.8845581979302324,-0.004004802985152045,2.6726283976610405,2.670885641792593,-0.0017427558684475208,0.0004289500000790345,0.00022790377017483092,-0.00020104622990420356
Platelet count,31.42192514716765,31.42192514716765,28.207443040913354,-3.2144821062542945,-0.10230060988303402,1.49723278971665,1.450363719847264,-0.04686906986938588,0.0784511404282141,0.03534174330783918,-0.043109397120374926
Sleep duration,352.80515448555707,352.80515448555633,349.0095366950981,-3.795617790458948,-0.010758396645291435,2.5475349215512835,2.5428372942298667,-0.004697627321416764,0.0015900533880511814,0.00012235377753966063,-0.0014676996105115207
IGF1 level in blood,57.44220807026522,57.44220807026519,54.05352625219683,-3.3886818180683846,-0.058992889234397716,1.7592311257729034,1.7328240309797514,-0.026407094793152064,0.032273646852371114,0.012681716226170963,-0.01959193062620015
General risk tolerance,589.4617838064679,1665.716850104696,1663.5349481396497,1074.073164333182,1.8221251891807486,2.770455654011307,3.2210319291151337,0.4505762751038267,5.859979031790967e-14,1.8990857574818934e-05,1.8990857516219145e-05
Aspartate aminotransferase level,37.91817440234039,37.91817440234035,30.0361948182954,-7.881979584044991,-0.2078681188712107,1.5788474197505347,1.4776449125501174,-0.10120250720041724,0.05757763491111611,0.008519547757000399,-0.049058087154115707
Red blood cell count,28.07687649139983,28.07687649139983,21.76576343894736,-6.31111305245247,-0.22477974194834716,1.4483487915631117,1.337773904735196,-0.11057488682791572,0.04325836849376038,0.015539816344015371,-0.02771855214974501
Insomnia,589.4617838064679,630.2101836292518,627.2474224339288,37.78563862746091,0.0641019310589721,2.770455654011307,2.7974388853313727,0.026983231320065748,5.859979031790967e-14,4.246190495062149e-05,4.24619048920217e-05
Atrial fibrillation,141.31576998541533,141.31576998541533,138.92985807486943,-2.3859119105459,-0.01688355029868316,2.1501906291910076,2.142795592056084,-0.007395037134923399,0.0009883761506486082,0.000129478307006888,-0.0008588978436417202
Hypothyroidism,27.335061701268007,27.335061701268007,23.60226286032806,-3.732798840939946,-0.1365571763376261,1.436720058527191,1.3729536428278166,-0.06376641569937447,0.06311873250472942,0.023638542060915105,-0.03948019044381432
Allergy or eczema,49.21387826905851,49.21387826905849,43.931883208880926,-5.281995060177586,-0.10732734842192782,1.6920875906891137,1.6427798203765298,-0.04930777031258393,0.04381155288824394,0.005716097445870088,-0.03809545544237385
Reported drinks per week ,313.8674608328192,313.8674608328192,308.82874549342824,-5.038715339390933,-0.016053640367883815,2.4967462939948835,2.4897177172730167,-0.007028576721866742,0.0019134419575396605,0.00011875593579810345,-0.001794686021741557
Phosphate levels,33.742931307680784,33.742931307680784,30.42962073782873,-3.313310569852053,-0.09819273078678425,1.5281828078160242,1.483296539525613,-0.0448862682904112,0.015186561574469262,0.0023197628103772063,-0.012866798764092056
Breast cancer,23.272616495087764,23.27261649508774,18.618123528330663,-4.6544929667571004,-0.19999869665447978,1.3668452129170907,1.2699359074531673,-0.0969093054639234,0.08832084560906624,0.01702888804023952,-0.07129195756882672
Inflammatory bowel disease,36.766396279036044,36.76639627903606,35.08543936163176,-1.6809569174042878,-0.045719926006529965,1.5654510638414416,1.5451269194037396,-0.02032414443770203,0.0088224086456055,0.0038596836139804156,-0.004962725031625084
Age at menopause,68.51493547292574,68.51493547292563,64.65313852879436,-3.8617969441313846,-0.05636430827052896,1.835785253046368,1.8105896121654033,-0.02519564088096482,0.03650555707318512,0.007898135199131484,-0.028607421874053636
Bipolar disorder,472.07470970170556,472.0747097017051,470.0654240736284,-2.00928562807718,-0.004256287377366164,2.674010734743486,2.6721583075884303,-0.0018524271550557359,0.0009556146417564372,0.0004078516217873872,-0.00054776301996905
Alzheimer's disease,35.027922948998544,35.02792294899858,31.57443375103089,-3.4534891979676523,-0.09859246301860414,1.5444143857181343,1.4993355707552296,-0.04507881496290467,0.024769927891852762,0.0006436204242370623,-0.0241263074676157
Coronary artery disease,49.61693477297957,49.61693477297954,46.46119285398339,-3.1557419189961777,-0.06360211354117618,1.6956299309902092,1.6670903557709835,-0.028539575219225677,0.012249883790984063,0.0012861165442017244,-0.010963767246782339
Triglycerides,23.54570919217683,23.545709192176865,17.214191268143946,-6.331517924032884,-0.26890325843897533,1.3719117758409853,1.2358866241343474,-0.13602515170663798,0.30779808817166976,0.6567267967831234,0.34892870861145364
LDL,29.899563013621663,29.899563013621663,8.348740340084296,-21.55082267353737,-0.720773834176748,1.4756648410950113,0.921620953972355,-0.5540438871226563,0.4863928222599869,1.5405177990474443,1.0541249767874574
HbA1c,27.474171261247328,27.474171261247328,19.614432922502512,-7.859738338744815,-0.2860773584035664,1.4389246011102512,1.2925757566568346,-0.14634884445341667,0.49557743289134903,0.1643770311829024,-0.33120040170844667
Hair color,5.900372020364613,5.900372020364618,3.432615977325407,-2.467756043039206,-0.418237364444473,0.7708793949129905,0.5356252196048006,-0.23525417530818993,0.05281878980343443,0.037998307607045353,-0.014820482196389075
